id,name,price,salePriceU,cashback,sale,brand,rating,supplier,supplierRating,feedbacks,reviewRating,promoTextCard,promoTextCat,link
246041226,"Смартфон 12 8 128 ГБ, Зеленый малахит",17999,15659,,13,realme,5,realme Official Store,4.8,406,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/246041226/detail.aspx?targetUrl=BP
240740965,Смартфон Redmi 13 8 256 ГБ Синий,21812,15181,,30,Xiaomi,5,ЗЕОН,4.8,118,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/240740965/detail.aspx?targetUrl=BP
250828957,"Смартфон Xiao Red 9C 3 64ГБ, Синий",15272,5760,,62,Mi,5,smart store,4.5,253,4.5,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/250828957/detail.aspx?targetUrl=BP
246995493,"Смартфон M-HORSE C53 8 128GB, золотистый",23234,8287,,64,MOS STORE,5,MOS STORE,4.6,62,4.5,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/246995493/detail.aspx?targetUrl=BP
236154992,"CAMON 30 256+8, Basaltic Dark",20990,17165,,18,TECNO,5,TECNO STORE,4.9,187,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/236154992/detail.aspx?targetUrl=BP
246041227,"Смартфон 12 8 128 ГБ, Голубой рассвет",17999,15659,,13,realme,5,realme Official Store,4.8,406,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/246041227/detail.aspx?targetUrl=BP
251251092,"Смартфон Reno12 F 8 512, серый",31999,23384,,26,OPPO,5,Фирменный магазин,4.9,106,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/251251092/detail.aspx?targetUrl=BP
270884379,Смартфон SPARK GO 1 KL4 4 128 ГБ черный,11930,7472,,37,Tecno,5,Яратон,4.9,29,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/270884379/detail.aspx?targetUrl=BP
212718655,Смартфон X9b 12GB+256GB оранжевый,34990,24353,,30,Honor,5,Selfie port,4.9,1634,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/212718655/detail.aspx?targetUrl=BP
242138842,"CAMON 30 256+8, Design Edition",20990,17165,,18,TECNO,5,TECNO STORE,4.9,187,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/242138842/detail.aspx?targetUrl=BP
