id,name,price,salePriceU,cashback,sale,brand,rating,supplier,supplierRating,feedbacks,reviewRating,promoTextCard,promoTextCat,link
182433488,Футболка оверсайз с принтом больших размеров,1670,652,,60,Сдвигшоп,5,Сдвигшоп,4.7,1240,4.7,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/182433488/detail.aspx?targetUrl=BP
258704075,Футболка с принтом оверсайз,3660,1327,,63,PREPARADE,5,PREPARADE,4.8,167,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/258704075/detail.aspx?targetUrl=BP
33613549,Военная тактическая милитари футболка из хлопка,1350,728,,46,ЛИМЕС,5,ЛИМЕС,4.7,5534,4.7,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/33613549/detail.aspx?targetUrl=BP
241119333,Комплект футболок тактическая камуфляж 3 шт,1500,655,,56,Janalina,5,Brownie Kuzya,4.6,2218,4.5,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/241119333/detail.aspx?targetUrl=BP
167740520,Футболка белая с принтом,1752,668,,61,JK Print,5,JK Store,4.7,1237,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/167740520/detail.aspx?targetUrl=BP
39483636,Футболка хлопок однотонная,1960,333,,83,PrimeStore,5,PRIME STORE,4.8,150647,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/39483636/detail.aspx?targetUrl=BP
262338779,Лонгслив футболка оверсайз с длинным рукавом с принтом,4480,1624,,63,PREPARADE,5,PREPARADE,4.8,168,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/262338779/detail.aspx?targetUrl=BP
165380298,Футболка мужская бордо с иероглифами хлопок Япония,1940,401,,79,Макс-Экстрим,5,Макс Экстрим,4.8,14933,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/165380298/detail.aspx?targetUrl=BP
234588735,Мужская принтованная футболка из хлопка,1999,769,,61,Zolla,5,Zolla,4.7,13,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/234588735/detail.aspx?targetUrl=BP
250848258,Футболка с принтом Рожденный в СССР,1200,426,,64,Neon wear,5,Neon W,4.8,11829,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/250848258/detail.aspx?targetUrl=BP
